名称,住所,lat,lng,coordinate_precision,区市町村,area_tag,toiletType,出典URL,備考
三園公園 トイレ,東京都板橋区三園一丁目7-1,,,unknown,板橋区,板橋区,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
三葉児童遊園 トイレ,東京都板橋区弥生町16-1,,,unknown,板橋区,弥生町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
上板富士公園 トイレ,東京都板橋区上板橋二丁目51-5,,,unknown,板橋区,上板橋,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
上谷津公園 トイレ,東京都板橋区赤塚六丁目36-31,,,unknown,板橋区,赤塚,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
上赤塚公園 トイレ,東京都板橋区赤塚三丁目40-10,,,unknown,板橋区,赤塚,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
下赤塚児童遊園 トイレ,東京都板橋区赤塚一丁目10-18,,,unknown,板橋区,赤塚,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
下赤塚公園 トイレ,東京都板橋区赤塚新町三丁目24-8,,,unknown,板橋区,赤塚新町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
中丸児童遊園 トイレ,東京都板橋区南町22-2,,,unknown,板橋区,南町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
中原公園 トイレ,東京都板橋区小豆沢一丁目4-12,,,unknown,板橋区,小豆沢,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
中台さくら公園 トイレ,東京都板橋区中台三丁目27-8,,,unknown,板橋区,中台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
中台しいのき公園 トイレ,東京都板橋区中台三丁目27-11,,,unknown,板橋区,中台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
中台二丁目公園 トイレ,東京都板橋区中台二丁目9-8,,,unknown,板橋区,中台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
中台公園 トイレ,東京都板橋区中台三丁目9-3,,,unknown,板橋区,中台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
二塚公園 トイレ,東京都板橋区赤塚三丁目10-11,,,unknown,板橋区,赤塚,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
前谷津川緑道 西台 トイレ,東京都板橋区西台二丁目39,,,unknown,板橋区,西台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
前谷津川緑道 高島平 トイレ,東京都板橋区高島平二丁目26先,,,unknown,板橋区,高島平,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
前野児童遊園 トイレ,東京都板橋区前野町二丁目23-10,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
前野公園 トイレ,東京都板橋区前野町五丁目1-1,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
前野町六丁目公園 トイレ,東京都板橋区前野町六丁目21-20,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
前野町四丁目公衆便所,東京都板橋区前野町四丁目39先,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
加賀二丁目公園 トイレ,東京都板橋区加賀二丁目13-1,,,unknown,板橋区,加賀,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
加賀公園 トイレ,東京都板橋区加賀一丁目8-1,,,unknown,板橋区,加賀,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
加賀第二公園 トイレ,東京都板橋区加賀一丁目16-1,,,unknown,板橋区,加賀,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
加賀西公園 トイレ,東京都板橋区加賀一丁目10-12,,,unknown,板橋区,加賀,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
北前野おもいやり広場 トイレ,東京都板橋区前野町四丁目39,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
北前野児童遊園 トイレ,東京都板橋区前野町五丁目37-10,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
南ときわ台公園 トイレ,東京都板橋区南常盤台二丁目8-6,,,unknown,板橋区,南常盤台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
南板橋公園 トイレ,東京都板橋区板橋一丁目39-1,,,unknown,板橋区,板橋,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
双葉町ひだまり公園 トイレ,東京都板橋区双葉町18-23,,,unknown,板橋区,双葉町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
向原児童遊園 トイレ,東京都板橋区向原一丁目17-1,,,unknown,板橋区,向原,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
向原公園 トイレ,東京都板橋区向原二丁目29-1,,,unknown,板橋区,向原,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
向口公園 トイレ,東京都板橋区四葉二丁目29-5,,,unknown,板橋区,板橋区,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
四ツ又公園 トイレ,東京都板橋区板橋二丁目62-1,,,unknown,板橋区,板橋,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
四葉二丁目公園 トイレ,東京都板橋区四葉二丁目9,,,unknown,板橋区,板橋区,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
四葉公園 トイレ,東京都板橋区四葉一丁目23-1,,,unknown,板橋区,板橋区,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
坂下一丁目公園 トイレ,東京都板橋区坂下一丁目36-27,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
坂下三丁目公園 トイレ,東京都板橋区坂下三丁目26-13,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
坂下三丁目第二公園 トイレ,東京都板橋区坂下三丁目18-1,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
坂下三丁目緑地 トイレ,東京都板橋区坂下三丁目9-19,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
坂下二丁目公園 トイレ,東京都板橋区坂下二丁目1-4,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
城北公園 トイレ,東京都板橋区坂下二丁目19-1,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
大原公園 トイレ,東京都板橋区大原町5-16,,,unknown,板橋区,大原町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
大原第二公園 トイレ,東京都板橋区大原町27-1,,,unknown,板橋区,大原町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
大山町公衆便所,東京都板橋区大山町47,,,unknown,板橋区,大山町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
大谷口一丁目4番遊び場 トイレ,東京都板橋区大谷口一丁目4-7,,,unknown,板橋区,大谷口,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
小豆沢公園（グランド下） トイレ,東京都板橋区小豆沢三丁目1他,,,unknown,板橋区,小豆沢,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
小豆沢公園（グランド西） トイレ,東京都板橋区小豆沢三丁目1他,,,unknown,板橋区,小豆沢,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
小豆沢公園（スタンド1階） トイレ,東京都板橋区小豆沢三丁目1他,,,unknown,板橋区,小豆沢,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
小豆沢公園（河岸広場） トイレ,東京都板橋区小豆沢三丁目1他,,,unknown,板橋区,小豆沢,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
小豆沢公園（環八沿線南側） トイレ,東京都板橋区小豆沢四丁目20-5,,,unknown,板橋区,小豆沢,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
山中児童遊園 トイレ,東京都板橋区栄町32-1,,,unknown,板橋区,栄町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
常盤台公園 トイレ,東京都板橋区常盤台一丁目13-1,,,unknown,板橋区,常盤台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
常盤台北口公園 トイレ,東京都板橋区常盤台二丁目20-20,,,unknown,板橋区,常盤台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
常盤台駅前公衆便所,東京都板橋区常盤台一丁目1-1,,,unknown,板橋区,常盤台,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
弥生公園 トイレ,東京都板橋区弥生町73-1,,,unknown,板橋区,弥生町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸ケ丘公園 トイレ,東京都板橋区徳丸六丁目27-11,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸ケ原公園 トイレ,東京都板橋区高島平八丁目24-1,,,unknown,板橋区,高島平,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸一丁目公園 トイレ,東京都板橋区徳丸一丁目35-1,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸一丁目西児童遊園 トイレ,東京都板橋区徳丸一丁目6-3,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸三ツ和公園 トイレ,東京都板橋区徳丸五丁目32-9,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸二丁目児童遊園 トイレ,東京都板橋区徳丸二丁目23-17,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸二丁目第二児童遊園 トイレ,東京都板橋区徳丸二丁目16-6,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸公園 トイレ,東京都板橋区徳丸四丁目5-1,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸本町公園 トイレ,東京都板橋区徳丸四丁目20-10,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸橋公園 トイレ,東京都板橋区新河岸一丁目3-7,,,unknown,板橋区,新河岸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸第二公園 トイレ,東京都板橋区徳丸二丁目8-5,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳丸高山公園 トイレ,東京都板橋区徳丸六丁目11-14,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
徳石公園 トイレ,東京都板橋区徳丸五丁目10-16,,,unknown,板橋区,徳丸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
志村公園 トイレ,東京都板橋区坂下一丁目5-18,,,unknown,板橋区,坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
志村坂上公衆便所,東京都板橋区志村二丁目3-2,,,unknown,板橋区,志村,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
志村坂下公衆便所,東京都板橋区東坂下二丁目15,,,unknown,板橋区,東坂下,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
志村城山公園 トイレ,東京都板橋区志村二丁目17-1,,,unknown,板橋区,志村,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
志村第三公園 トイレ,東京都板橋区志村一丁目21-8,,,unknown,板橋区,志村,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
志村第二公園 トイレ,東京都板橋区前野町五丁目56-1,,,unknown,板橋区,前野町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
愛染児童遊園 トイレ,東京都板橋区大和町43-1,,,unknown,板橋区,大和町,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
成増うめの里公園 トイレ,東京都板橋区成増五丁目4,,,unknown,板橋区,成増,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
成増児童遊園 トイレ,東京都板橋区成増二丁目24-8,,,unknown,板橋区,成増,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
成増公園 トイレ,東京都板橋区成増三丁目4-9,,,unknown,板橋区,成増,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
成増北第一公園 トイレ,東京都板橋区成増五丁目19-1,,,unknown,板橋区,成増,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
成増北第二公園 トイレ,東京都板橋区成増五丁目19-2,,,unknown,板橋区,成増,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
成増駅南口公衆便所,東京都板橋区成増二丁目14-7,,,unknown,板橋区,成増,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
戸田川公園 トイレ,東京都板橋区新河岸二丁目10-1,,,unknown,板橋区,新河岸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
戸田橋際公衆便所,東京都板橋区舟渡二丁目25-10,,,unknown,板橋区,舟渡,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
新河岸一丁目公園 トイレ,東京都板橋区新河岸一丁目3-6,,,unknown,板橋区,新河岸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
新河岸公園 トイレ,東京都板橋区新河岸三丁目9-1,,,unknown,板橋区,新河岸,公衆トイレ,https://catalog.data.metro.tokyo.lg.jp/dataset/t131199d0000000005,自治体公式オープンデータ収録。名称・住所を一次データ由来候補として整備。座標は公式値を確認できないため推測せずnull。
