名称,住所,lat,lng,coordinate_precision,区市町村,area_tag,toiletType,出典URL,備考
東武橋際,東京都墨田区向島1-32-12,35.70966,139.808309,toilet,墨田区,向島1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
小村井,東京都墨田区文花2-1-40,35.706835,139.825277,toilet,墨田区,文花2丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
大畑,東京都墨田区八広4-12-3,35.722591,139.826542,toilet,墨田区,八広4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
福神橋際,東京都墨田区立花1-1-18,35.705329,139.826198,toilet,墨田区,立花1丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
三輪里,東京都墨田区八広3-6-10,35.720344,139.826659,toilet,墨田区,八広3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
両国駅西口,東京都墨田区横網1-3-19,35.696124,139.792016,toilet,墨田区,横網1丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
白鬚,東京都墨田区墨田1-4-2,35.728696,139.813669,toilet,墨田区,墨田1丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
まち歩きトイレ錦糸,東京都墨田区錦糸1-1-1,35.697419,139.808998,toilet,墨田区,錦糸1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
押上駅前自転車駐車場内,東京都墨田区押上1-8-25,35.711254,139.813958,toilet,墨田区,押上1丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東墨田一丁目,東京都墨田区東墨田1-10-28,35.716223,139.832778,toilet,墨田区,東墨田1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
立花五丁目,東京都墨田区立花5-50-19,35.713368,139.833485,toilet,墨田区,立花5丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
平井橋際,東京都墨田区立花3-29-11,35.708481,139.837207,toilet,墨田区,立花3丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
八広三丁目こども広場内,東京都墨田区八広3-24-8,35.719793,139.828751,toilet,墨田区,八広3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
菊川三丁目こども広場内,東京都墨田区菊川3-6-10,35.687769,139.80714,toilet,墨田区,菊川3丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
両国公園,東京都墨田区両国4-25-3,35.693749,139.796141,toilet,墨田区,両国4丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
菊川公園,東京都墨田区立川4-12-21,35.691186,139.807639,toilet,墨田区,立川4丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
中和公園,東京都墨田区菊川1-18-25,35.689429,139.802945,toilet,墨田区,菊川1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
江東橋公園,東京都墨田区江東橋2-4-3,35.693908,139.811341,toilet,墨田区,江東橋2丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
錦糸堀公園,東京都墨田区江東橋4-17-8,35.694885,139.816526,toilet,墨田区,江東橋4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
旧安田庭園,東京都墨田区横網1-12-1,35.697965,139.793976,toilet,墨田区,横網1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
旧安田庭園（心字亭内）,東京都墨田区横網1-12-1,35.697965,139.793976,toilet,墨田区,横網1丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
緑町公園,東京都墨田区亀沢2-7-12,35.696813,139.800651,toilet,墨田区,亀沢2丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
日進公園,東京都墨田区亀沢3-24-3,35.698653,139.804421,toilet,墨田区,亀沢3丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
若宮公園,東京都墨田区本所2-2-19,35.702277,139.801121,toilet,墨田区,本所2丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
横川公園,東京都墨田区東駒形4-18-21,35.706808,139.806813,toilet,墨田区,東駒形4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
錦糸公園(東),東京都墨田区錦糸4-15-1,35.699526,139.81721,toilet,墨田区,錦糸4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
錦糸公園(西),東京都墨田区錦糸4-15-5,35.698547,139.815088,toilet,墨田区,錦糸4丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
業平公園,東京都墨田区業平2-3-2,35.706125,139.812633,toilet,墨田区,業平2丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
銅像堀公園,東京都墨田区向島5-9-1,35.72184,139.810029,toilet,墨田区,向島5丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
原公園,東京都墨田区京島3-44-14,35.712871,139.823329,toilet,墨田区,京島3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
あずま百樹園,東京都墨田区文花1-19-4,35.710215,139.823861,toilet,墨田区,文花1丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
文花公園,東京都墨田区文花1-27-5,35.709039,139.821683,toilet,墨田区,文花1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
吾嬬西公園,東京都墨田区八広6-53-16,35.724225,139.830239,toilet,墨田区,八広6丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
中川公園,東京都墨田区立花5-38-15,35.712034,139.831811,toilet,墨田区,立花5丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
新平井橋公園,東京都墨田区東墨田1-6-2,35.715719,139.830424,toilet,墨田区,東墨田1丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東向島北公園,東京都墨田区東向島4-12-19,35.725564,139.815871,toilet,墨田区,東向島4丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
堤通公園,東京都墨田区堤通1-8-1,35.724467,139.810754,toilet,墨田区,堤通1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
長寿庭園,東京都墨田区東向島4-8-20,35.727226,139.815374,toilet,墨田区,東向島4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
京島南公園,東京都墨田区京島2-20-17,35.713017,139.821892,toilet,墨田区,京島2丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
ふじのき公園,東京都墨田区東向島2-7-5,35.717345,139.815428,toilet,墨田区,東向島2丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
さつき公園,東京都墨田区東向島6-19-12,35.722343,139.820244,toilet,墨田区,東向島6丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
ひいらぎ公園,東京都墨田区八広1-16-11,35.720295,139.822405,toilet,墨田区,八広1丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
つばき公園,東京都墨田区墨田5-33-9,35.737619,139.820317,toilet,墨田区,墨田5丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
隅田公園（枕橋際）,東京都墨田区向島1-1-4,35.711669,139.802101,toilet,墨田区,向島1丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
隅田公園（日本庭園南）,東京都墨田区向島1丁目地内,35.711417,139.805424,toilet,墨田区,向島1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
隅田公園（言問橋際）,東京都墨田区向島2-1-66,35.713387,139.805156,toilet,墨田区,向島2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
隅田公園（小梅小裏）,東京都墨田区向島2丁目地内,35.715776,139.808104,toilet,墨田区,向島2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
隅田公園（デッキ際）,東京都墨田区向島五丁目地内,35.719419,139.811233,toilet,墨田区,向島5丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
隅田公園（駐車場際）,東京都墨田区向島5丁目地内,35.719419,139.811233,toilet,墨田区,向島5丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
舟原公園,東京都墨田区八広2-43-16,35.715135,139.826772,toilet,墨田区,八広2丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
福寿公園,東京都墨田区立花3-24-3,35.707868,139.834355,toilet,墨田区,立花3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
京島西公園,東京都墨田区京島1-22-3,35.715683,139.818719,toilet,墨田区,京島1丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東向島ふじ公園,東京都墨田区東向島2-46-7,35.720326,139.818507,toilet,墨田区,東向島2丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
立花公園,東京都墨田区立花1-27-5,35.704974,139.828861,toilet,墨田区,立花1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
文花宮前橋公園,東京都墨田区文花1-32-11,35.708673,139.824407,toilet,墨田区,文花1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
横川東公園,東京都墨田区横川5-2-8,35.703053,139.817621,toilet,墨田区,横川5丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
曳舟さくら公園,東京都墨田区京島1-40-1,35.718791,139.820236,toilet,墨田区,京島1丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
八広中央公園,東京都墨田区八広3-13-19,35.719206,139.827253,toilet,墨田区,八広3丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
たちばな仲よし公園,東京都墨田区立花5-19-2,35.712413,139.830419,toilet,墨田区,立花5丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
千歳公園,東京都墨田区千歳2-2-1,35.690378,139.795049,toilet,墨田区,千歳2丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東あずま公園,東京都墨田区立花2-32-12,35.708334,139.830342,toilet,墨田区,立花2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
平井橋第一公園,東京都墨田区立花6-8-55,35.710489,139.8345,toilet,墨田区,立花6丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
平井橋第二公園,東京都墨田区立花6-8-44,35.710546,139.83609,toilet,墨田区,立花6丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
八広公園,東京都墨田区八広5-10-14,35.725805,139.824852,toilet,墨田区,八広5丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
緑と花の学習園,東京都墨田区文花2-12-17,35.708961,139.825421,toilet,墨田区,文花2丁目,洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
梅若公園,東京都墨田区堤通2-6-11,35.733814,139.816426,toilet,墨田区,堤通2丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
なつめ公園,東京都墨田区東向島6-40-2,35.724447,139.821858,toilet,墨田区,東向島6丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東墨田東公園,東京都墨田区東墨田3-19-2,35.718432,139.837441,toilet,墨田区,東墨田3丁目,公衆トイレ,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
みわさと公園,東京都墨田区八広1-38-13,35.72107,139.825297,toilet,墨田区,八広1丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東墨田第一公園,東京都墨田区東墨田2-1-16,35.718765,139.829995,toilet,墨田区,東墨田2丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
八広あずま公園,東京都墨田区八広4-19-14,35.723763,139.828054,toilet,墨田区,八広4丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東公園,東京都墨田区東墨田3-12-19,35.720736,139.835841,toilet,墨田区,東墨田3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
きねがわ公園,東京都墨田区東墨田2-25-8,35.724157,139.833155,toilet,墨田区,東墨田2丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
立花いこい公園,東京都墨田区立花6-8-34,35.711235,139.835987,toilet,墨田区,立花6丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
大横川親水公園（業平橋際）,東京都墨田区東駒形4-15-18,35.708492,139.807448,toilet,墨田区,東駒形4丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
大横川親水公園（横川橋際）,東京都墨田区本所4-30-1,35.70423,139.807813,toilet,墨田区,本所4丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
大横川親水公園（法恩寺橋際）,東京都墨田区太平1-1-1,35.700725,139.808704,toilet,墨田区,太平1丁目,和式・洋式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
竪川親水公園,東京都墨田区江東橋3-1-1,35.6932,139.813356,toilet,墨田区,江東橋3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
東墨田公園,東京都墨田区東墨田3-4-14,35.719932,139.835257,toilet,墨田区,東墨田3丁目,和式,https://www.city.sumida.lg.jp/kuseijoho/sumida_info/opendata/stdataset/public_toilet.files/131075_public_toilet_20250331.csv,自治体公式一次情報で監査済み。座標は公式確認済みのみ採用し、未確認はnull。
